Name,SUBZONE,ZONE
D_185,RLP_SL,DE
D_233,BY,DE
D_Connef,NI_HB,DE
D_Diele,NI_HB,DE
D_Eichst,BW,DE
D_engstl,BW,DE
D_Gronau,NRW,DE
D_kuhmoo,BW,DE
D_leupol,BY,DE
D_oberbr,BY,DE
D_Rommer,NRW,DE
D_Siersd,NRW,DE
D_Tienge,BW,DE
D-1,SH_HH,DE
D-10,SH_HH,DE
D-100,NRW,DE
D-101,NRW,DE
D-102,NRW,DE
D-103,SN,DE
D-104,NRW,DE
D-105,NRW,DE
D-106,HE,DE
D-107,HE,DE
D-108,NRW,DE
D-109,NRW,DE
D-11,SH_HH,DE
D-110,NRW,DE
D-111,NRW,DE
D-112,HE,DE
D-113,SN,DE
D-114,TH,DE
D-115,TH,DE
D-116,NRW,DE
D-117,SN,DE
D-118,TH,DE
D-119,HE,DE
D-12,SH_HH,DE
D-120,NRW,DE
D-121,SN,DE
D-122,SN,DE
D-123,NRW,DE
D-124,HE,DE
D-125,SN,DE
D-126,NRW,DE
D-127,NRW,DE
D-129,TH,DE
D-13,BB_B,DE
D-130,HE,DE
D-131,NRW,DE
D-133,HE,DE
D-134,TH,DE
D-135,TH,DE
D-136,NRW,DE
D-137,NRW,DE
D-138,HE,DE
D-139,HE,DE
D-14,SH_HH,DE
D-140,BY,DE
D-141,NRW,DE
D-142,BY,DE
D-143,HE,DE
D-144,RLP_SL,DE
D-145,RLP_SL,DE
D-146,RLP_SL,DE
D-147,NRW,DE
D-148,HE,DE
D-149,HE,DE
D-15,MV,DE
D-150,BY,DE
D-151,BY,DE
D-152,HE,DE
D-153,HE,DE
D-154,BY,DE
D-155,HE,DE
D-156,BY,DE
D-157,HE,DE
D-158,HE,DE
D-159,BY,DE
D-16,SH_HH,DE
D-160,RLP_SL,DE
D-161,BY,DE
D-162,RLP_SL,DE
D-163,BW,DE
D-164,RLP_SL,DE
D-165/16,HE,DE
D-17,SH_HH,DE
D-170,BY,DE
D-171,BW,DE
D-172,BY,DE
D-173,RLP_SL,DE
D-174,BY,DE
D-175,HE,DE
D-176,BW,DE
D-177,BW,DE
D-178,RLP_SL,DE
D-179,BW,DE
D-18,NI_HB,DE
D-180,RLP_SL,DE
D-181,BW,DE
D-182,BW,DE
D-183,BY,DE
D-185,RLP_SL,DE
D-186,BW,DE
D-187,BY,DE
D-188,BY,DE
D-189,BW,DE
D-19,BB_B,DE
D-190,BY,DE
D-191,BY,DE
D-192,BW,DE
D-193,BY,DE
D-194,BW,DE
D-195,BW,DE
D-196,BW,DE
D-197,BY,DE
D-198,BY,DE
D-199,BW,DE
D-2,MV,DE
D-20,NI_HB,DE
D-200,BW,DE
D-201,BW,DE
D-202,BY,DE
D-203,BW,DE
D-205,BY,DE
D-206,BY,DE
D-207,BY,DE
D-208,BW,DE
D-209,BY,DE
D-21,SH_HH,DE
D-210,BY,DE
D-212,BW,DE
D-213,BY,DE
D-214,BY,DE
D-216,BY,DE
D-219,BY,DE
D-22,NI_HB,DE
D-224,BY,DE
D-229,RLP_SL,DE
D-23,SH_HH,DE
D-231,BY,DE
D-24,NI_HB,DE
D-25,BB_B,DE
D-26,NI_HB,DE
D-27,NI_HB,DE
D-29,NI_HB,DE
D-3,MV,DE
D-30,NI_HB,DE
D-31,NI_HB,DE
D-32,NI_HB,DE
D-33,NI_HB,DE
D-34,BB_B,DE
D-35,BB_B,DE
D-36,NI_HB,DE
D-37,NI_HB,DE
D-38,BB_B,DE
D-39,BB_B,DE
D-4,SH_HH,DE
D-41,BB_B,DE
D-42,NI_HB,DE
D-43,NI_HB,DE
D-44,NI_HB,DE
D-45,BB_B,DE
D-46,BB_B,DE
D-47,BB_B,DE
D-48,NI_HB,DE
D-49,NI_HB,DE
D-5,MV,DE
D-50,NI_HB,DE
D-51,NI_HB,DE
D-52,ST,DE
D-53,NI_HB,DE
D-54,NRW,DE
D-55,NI_HB,DE
D-56,NI_HB,DE
D-57,BB_B,DE
D-58,ST,DE
D-59,NI_HB,DE
D-6,SH_HH,DE
D-60,NI_HB,DE
D-61,NRW,DE
D-62,BB_B,DE
D-63,NI_HB,DE
D-64,NI_HB,DE
D-65,NI_HB,DE
D-66,NRW,DE
D-68,SN,DE
D-69,NI_HB,DE
D-7,MV,DE
D-70,ST,DE
D-71,NRW,DE
D-72,NRW,DE
D-73,NRW,DE
D-74,NI_HB,DE
D-75,NI_HB,DE
D-76,NRW,DE
D-77,SN,DE
D-78,NRW,DE
D-79,ST,DE
D-8,MV,DE
D-80,SN,DE
D-81,NRW,DE
D-82,SN,DE
D-83,SN,DE
D-84,NRW,DE
D-85,ST,DE
D-86,NRW,DE
D-87,ST,DE
D-88,NRW,DE
D-89,SN,DE
D-9,MV,DE
D-90,HE,DE
D-91,NRW,DE
D-92,SN,DE
D-93,NRW,DE
D-94,SN,DE
D-95,NRW,DE
D-96,NI_HB,DE
D-97,NRW,DE
D-98,SN,DE
D-99,SN,DE
E_obermo,BW,DE
E-204,BY,DE
E-211,BW,DE
E-215,BW,DE
E-217,BW,DE
E-218,BW,DE
E-220,BW,DE
E-223,BW,DE
