Generators,GeneratorType,BusGenerator,MinRunCapacity,MaxRunCapacity,RampUp,RampDown,UT,DT,MaxTransitionLevel,FuelCost,FuelGenerator,FHGenerator,StartupCost,hr1,hr2,hr3,hr4,f1,f2,f3,R2U,R2D,R3U,R3D,Technology,
GConv1,SLOW,D-66,52.8,132,2.64,2.64,24,12,52.8,2.0205,COAL,FH_ARA,6581.257243,7.7838,8.6595,8.8541,,192.6486,134.8514,115.5846,0,0,0,0,CST,24
GConv2,FAST,D-38,50.9,212,10.6,10.6,2,2,212,6.9228,NAT_GAS,FH_NCG,3685.22797,9.0135,,,,0,,,53,0,97.5,0,GT,24
GConv3,FAST,D-38,9,37.4,1.87,1.87,2,2,37.4,6.9228,NAT_GAS,FH_NCG,650.1298399,9.0135,,,,0,,,9.35,0,17.18,0,GT,24
GConv4,FAST,D-38,9,37.4,1.87,1.87,2,2,37.4,6.9228,NAT_GAS,FH_NCG,650.1298399,9.0135,,,,0,,,9.35,0,17.18,0,GT,24
GConv5,FAST,D-38,9,37.4,1.87,1.87,2,2,37.4,6.9228,NAT_GAS,FH_NCG,650.1298399,7.2108,8.022,8.2023,,50.5658,35.3967,30.3396,9.35,0,17.18,0,GT,24
GConv6,CHP,D-189,151.6,420,8.4,8.4,24,12,151.6,2.0205,COAL,FH_ARA,13109.7855,10.2857,,,,0.0022,,,42,0,79.8,0,CHP,24
GConv7,CHP,D-189,143.3,305,6.1,6.1,24,12,143.3,2.0205,COAL,FH_ARA,9520.201375,8.0147,8.6021,9.1895,,310.6237,221.0455,86.6782,0,0,0,0,CHP,24
GConv8,FAST,D-189,14.4,60,3,3,2,2,60,6.9228,NAT_GAS,FH_NCG,1042.989048,10.2857,,,,0,,,15,0,27.6,0,GT,24
GConv9,FAST,D-189,20.9,87,4.35,4.35,2,2,87,6.9228,NAT_GAS,FH_NCG,1512.33412,8.7017,9.3394,9.9771,,96.1971,68.4578,26.8485,21.75,0,0,0,GT,24
GConv10,SLOW,D-126,35.2,88,0.88,0.88,24,12,35.2,1.0815,LIGNITE,FH_GERMANY,3779.859674,12,,,,0,,,0,4.4,0,0,CST,24
GConv11,SLOW,D-162,294.4,736,14.72,14.72,24,12,294.4,2.0205,COAL,FH_ARA,38232.58998,8.1127,8.4169,9.8366,,1119.5493,1007.5949,223.9207,73.6,0,0,0,CST,24
GConv12,SLOW,D-49,21.6,54,1.08,1.08,24,12,21.6,2.0205,COAL,FH_ARA,2692.332508,12.4138,,,,0,,,5.4,0,10.26,0,CST,24
GConv13,SLOW,D-176,186,465,9.3,9.3,24,12,186,1.0815,LIGNITE,FH_GERMANY,20492.93083,8.7017,9.3394,9.9771,,514.1571,365.8952,143.5007,0,46.5,0,0,CST,24
GConv14,SLOW,D-176,186,465,9.3,9.3,24,12,186,1.0815,LIGNITE,FH_GERMANY,20492.93083,10.2857,,,,0,,,0,46.5,0,0,CST,24
GConv15,SLOW,D-176,340,850,17,17,24,12,340,1.0815,LIGNITE,FH_GERMANY,39772.03257,8.6124,,,,0,,,0,85,0,110.4,CST,24
GConv16,SLOW,D-176,249.6,624,12.48,12.48,24,12,249.6,1.0815,LIGNITE,FH_GERMANY,29197.35097,6.8134,7.3128,7.8121,,540.2416,384.4359,150.756,0,62.4,0,0,CST,24
GConv17,NUCLEAR,D-16,548,1096,36.53333,36.53333,168,168,548,0.6948,NUCLEAR,FH_GERMANY,23751.06463,8.7273,9.7091,9.9273,,1793.4545,1255.4132,1076.0503,0,95.3,0,110.4,NUCLEAR,24
GConv18,NUCLEAR,D-16,137,274,9.13333,9.13333,168,168,137,0.6948,NUCLEAR,FH_GERMANY,5937.766157,9.2291,9.9055,10.5818,,321.3273,228.6592,89.6765,0,45.6667,0,0,NUCLEAR,24
GConv19,SLOW,D-126,28,70,1.4,1.4,24,12,28,2.0205,COAL,FH_ARA,3636.251765,8.2286,9.1543,9.36,,108,75.5995,64.8,0,0,0,0,CST,24
GConv20,SLOW,D-22,140,350,3.5,3.5,24,12,140,1.0815,LIGNITE,FH_GERMANY,15424.78665,10.2857,,,,0,,,0,0,0,0,CST,24
GConv21,FAST,D-38,50.9,212,10.6,10.6,2,2,212,6.9228,NAT_GAS,FH_NCG,3685.22797,7.6254,8.1843,8.7431,,205.4181,146.1788,57.3283,53,0,97.5,0,GT,24
GConv22,FAST,D-177,22.1,92,4.6,4.6,2,2,92,6.9228,NAT_GAS,FH_NCG,1599.249874,10.6888,,,,0,,,23,0,42.5667,0,GT,24
GConv23,SLOW,D-100,38,95,1.9,1.9,24,12,38,2.0205,COAL,FH_ARA,4934.913109,9.2903,10.3355,10.5677,,165.4839,115.8379,99.2933,9.5,0,9.50096,0,CST,24
GConv24,SLOW,D-100,38,95,1.9,1.9,24,12,38,2.0205,COAL,FH_ARA,4934.913109,11.6129,,,,0,,,9.5,0,18.05,0,CST,24
GConv25,SLOW,D-100,45.2,113,2.26,2.26,24,12,45.2,2.0205,COAL,FH_ARA,5869.949277,9.8245,10.5445,11.2645,,141.0677,100.3887,39.3691,11.3,0,11.3014,0,CST,24
GConv26,SLOW,D-100,76.5,255,5.1,5.1,6,8,76.5,2.4372,OTHER_GAS,FH_GERMANY,7120.178094,8.5714,,,,0,,,25.5,0,48.45,0,GST,24
GConv27,CHP,D-126,36.8,88,1.76,1.76,24,12,36.8,2.0205,COAL,FH_ARA,3774.854238,9.8245,10.5445,11.2645,,109.8587,78.1788,30.6591,8.8,0,10.4001,0,CHP,24
GConv28,SLOW,D-120,6,75,1.5,1.5,12,8,6,6.9228,NAT_GAS,FH_NCG,4568.078232,10.2857,,,,0,,,7.5,0,14.25,0,GST,24
