Generators,BusGenerators,DynamicProfile,ParticipationFactor,FuelGenerator,Bus,SubZone,Zone,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,Period49,Period50,Period51,Period52,Period53,Period54,Period55,Period56,Period57,Period58,Period59,Period60,Period61,Period62,Period63,Period64,Period65,Period66,Period67,Period68,Period69,Period70,Period71,Period72,Period73,Period74,Period75,Period76,Period77,Period78,Period79,Period80,Period81,Period82,Period83,Period84,Period85,Period86,Period87,Period88,Period89,Period90,Period91,Period92,Period93,Period94,Period95,Period96,ReferenceValue
GSW1,D_185,RLP_SL_PHOTO,0.083333333,SOLAR,D_185,RLP_SL,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19E-07,1.19E-07,3.83E-05,0.000161486,0.000409066,0.001330202,0.003230036,0.006661645,0.013231,0.022001794,0.039895509,0.060417971,0.085179303,0.111394504,0.127836034,0.145681512,0.165963076,0.185813759,0.19916135,0.21141976,0.222769662,0.232097336,0.238502214,0.245014493,0.247894589,0.250000316,0.255220055,0.258238287,0.258366818,0.257739073,0.262528059,0.26370569,0.261549222,0.259827041,0.246685213,0.231794181,0.213250565,0.193947989,0.174745733,0.155988296,0.135268329,0.116681996,0.094700178,0.073724435,0.058108139,0.045146123,0.031162543,0.019451769,0.010039859,0.002888706,0.000873535,0.000100641,2.39E-05,7.78E-05,2.37E-07,0,0,0,1.12E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2145
GSW2,D_233,BY_PHOTO,0.03030303,SOLAR,D_233,BY,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34E-05,0.000146931,0.000210197,0.000309259,0.002541742,0.008020749,0.016327845,0.026593371,0.044897992,0.065231316,0.08679364,0.108584227,0.127512545,0.146145813,0.164503958,0.182860699,0.199463472,0.213401111,0.227151282,0.241482547,0.2520301,0.26315755,0.272523106,0.280577233,0.284313593,0.28232496,0.277656268,0.272261941,0.26303824,0.252153369,0.240273813,0.228988811,0.216061019,0.199485579,0.182313584,0.165279331,0.148330152,0.133786546,0.118578651,0.103975071,0.091592295,0.076713603,0.060663083,0.044404569,0.031175412,0.019954269,0.011589502,0.004097317,0.000336969,0.000146032,0.000167837,4.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10929
GSW3,D_Connef,NI_HB_PHOTO,0.032258065,SOLAR,D_Connef,NI_HB,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34E-05,0.000146931,0.000210197,0.000309259,0.002541742,0.008020749,0.016327845,0.026593371,0.044897992,0.065231316,0.08679364,0.108584227,0.127512545,0.146145813,0.164503958,0.182860699,0.199463472,0.213401111,0.227151282,0.241482547,0.2520301,0.26315755,0.272523106,0.280577233,0.284313593,0.28232496,0.277656268,0.272261941,0.26303824,0.252153369,0.240273813,0.228988811,0.216061019,0.199485579,0.182313584,0.165279331,0.148330152,0.133786546,0.118578651,0.103975071,0.091592295,0.076713603,0.060663083,0.044404569,0.031175412,0.019954269,0.011589502,0.004097317,0.000336969,0.000146032,0.000167837,4.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3434
GSW4,D_Diele,NI_HB_PHOTO,0.032258065,SOLAR,D_Diele,NI_HB,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34E-05,0.000146931,0.000210197,0.000309259,0.002541742,0.008020749,0.016327845,0.026593371,0.044897992,0.065231316,0.08679364,0.108584227,0.127512545,0.146145813,0.164503958,0.182860699,0.199463472,0.213401111,0.227151282,0.241482547,0.2520301,0.26315755,0.272523106,0.280577233,0.284313593,0.28232496,0.277656268,0.272261941,0.26303824,0.252153369,0.240273813,0.228988811,0.216061019,0.199485579,0.182313584,0.165279331,0.148330152,0.133786546,0.118578651,0.103975071,0.091592295,0.076713603,0.060663083,0.044404569,0.031175412,0.019954269,0.011589502,0.004097317,0.000336969,0.000146032,0.000167837,4.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3434
GSW5,D_Eichst,BW_PHOTO,0.035714286,SOLAR,D_Eichst,BW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11E-05,7.40E-05,9.29E-05,0.000196062,0.000307836,0.000452692,0.005600191,0.01726382,0.029951288,0.043697421,0.058306927,0.073998658,0.090196544,0.108026928,0.125978319,0.142796338,0.159581253,0.176441808,0.192894173,0.208115748,0.220612976,0.233005605,0.241682396,0.247148126,0.250460008,0.252628301,0.255761511,0.259687242,0.262872366,0.262750647,0.260160778,0.252977793,0.24548972,0.23535089,0.221424805,0.205919924,0.189909331,0.171909591,0.153482067,0.135510622,0.117048371,0.098949869,0.078694188,0.058836365,0.042296199,0.02834654,0.017941059,0.011187515,0.006192072,0.002502052,0.000311561,8.08E-06,2.60E-06,0,7.28E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4927
GSW6,D_engstl,BW_PHOTO,0.035714286,SOLAR,D_engstl,BW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11E-05,7.40E-05,9.29E-05,0.000196062,0.000307836,0.000452692,0.005600191,0.01726382,0.029951288,0.043697421,0.058306927,0.073998658,0.090196544,0.108026928,0.125978319,0.142796338,0.159581253,0.176441808,0.192894173,0.208115748,0.220612976,0.233005605,0.241682396,0.247148126,0.250460008,0.252628301,0.255761511,0.259687242,0.262872366,0.262750647,0.260160778,0.252977793,0.24548972,0.23535089,0.221424805,0.205919924,0.189909331,0.171909591,0.153482067,0.135510622,0.117048371,0.098949869,0.078694188,0.058836365,0.042296199,0.02834654,0.017941059,0.011187515,0.006192072,0.002502052,0.000311561,8.08E-06,2.60E-06,0,7.28E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4927
GSW7,D_Gronau,NRW_PHOTO,0.026315789,SOLAR,D_Gronau,NRW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19E-07,1.19E-07,3.83E-05,0.000161486,0.000409066,0.001330202,0.003230036,0.006661645,0.013231,0.022001794,0.039895509,0.060417971,0.085179303,0.111394504,0.127836034,0.145681512,0.165963076,0.185813759,0.19916135,0.21141976,0.222769662,0.232097336,0.238502214,0.245014493,0.247894589,0.250000316,0.255220055,0.258238287,0.258366818,0.257739073,0.262528059,0.26370569,0.261549222,0.259827041,0.246685213,0.231794181,0.213250565,0.193947989,0.174745733,0.155988296,0.135268329,0.116681996,0.094700178,0.073724435,0.058108139,0.045146123,0.031162543,0.019451769,0.010039859,0.002888706,0.000873535,0.000100641,2.39E-05,7.78E-05,2.37E-07,0,0,0,1.12E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4081
GSW8,D_kuhmoo,BW_PHOTO,0.035714286,SOLAR,D_kuhmoo,BW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11E-05,7.40E-05,9.29E-05,0.000196062,0.000307836,0.000452692,0.005600191,0.01726382,0.029951288,0.043697421,0.058306927,0.073998658,0.090196544,0.108026928,0.125978319,0.142796338,0.159581253,0.176441808,0.192894173,0.208115748,0.220612976,0.233005605,0.241682396,0.247148126,0.250460008,0.252628301,0.255761511,0.259687242,0.262872366,0.262750647,0.260160778,0.252977793,0.24548972,0.23535089,0.221424805,0.205919924,0.189909331,0.171909591,0.153482067,0.135510622,0.117048371,0.098949869,0.078694188,0.058836365,0.042296199,0.02834654,0.017941059,0.011187515,0.006192072,0.002502052,0.000311561,8.08E-06,2.60E-06,0,7.28E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4927
GSW9,D_leupol,BY_PHOTO,0.03030303,SOLAR,D_leupol,BY,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34E-05,0.000146931,0.000210197,0.000309259,0.002541742,0.008020749,0.016327845,0.026593371,0.044897992,0.065231316,0.08679364,0.108584227,0.127512545,0.146145813,0.164503958,0.182860699,0.199463472,0.213401111,0.227151282,0.241482547,0.2520301,0.26315755,0.272523106,0.280577233,0.284313593,0.28232496,0.277656268,0.272261941,0.26303824,0.252153369,0.240273813,0.228988811,0.216061019,0.199485579,0.182313584,0.165279331,0.148330152,0.133786546,0.118578651,0.103975071,0.091592295,0.076713603,0.060663083,0.044404569,0.031175412,0.019954269,0.011589502,0.004097317,0.000336969,0.000146032,0.000167837,4.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10929
GSW10,D_oberbr,BY_PHOTO,0.03030303,SOLAR,D_oberbr,BY,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34E-05,0.000146931,0.000210197,0.000309259,0.002541742,0.008020749,0.016327845,0.026593371,0.044897992,0.065231316,0.08679364,0.108584227,0.127512545,0.146145813,0.164503958,0.182860699,0.199463472,0.213401111,0.227151282,0.241482547,0.2520301,0.26315755,0.272523106,0.280577233,0.284313593,0.28232496,0.277656268,0.272261941,0.26303824,0.252153369,0.240273813,0.228988811,0.216061019,0.199485579,0.182313584,0.165279331,0.148330152,0.133786546,0.118578651,0.103975071,0.091592295,0.076713603,0.060663083,0.044404569,0.031175412,0.019954269,0.011589502,0.004097317,0.000336969,0.000146032,0.000167837,4.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10929
GSW11,D_Rommer,NRW_PHOTO,0.026315789,SOLAR,D_Rommer,NRW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19E-07,1.19E-07,3.83E-05,0.000161486,0.000409066,0.001330202,0.003230036,0.006661645,0.013231,0.022001794,0.039895509,0.060417971,0.085179303,0.111394504,0.127836034,0.145681512,0.165963076,0.185813759,0.19916135,0.21141976,0.222769662,0.232097336,0.238502214,0.245014493,0.247894589,0.250000316,0.255220055,0.258238287,0.258366818,0.257739073,0.262528059,0.26370569,0.261549222,0.259827041,0.246685213,0.231794181,0.213250565,0.193947989,0.174745733,0.155988296,0.135268329,0.116681996,0.094700178,0.073724435,0.058108139,0.045146123,0.031162543,0.019451769,0.010039859,0.002888706,0.000873535,0.000100641,2.39E-05,7.78E-05,2.37E-07,0,0,0,1.12E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4081
GSW12,D_Siersd,NRW_PHOTO,0.026315789,SOLAR,D_Siersd,NRW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19E-07,1.19E-07,3.83E-05,0.000161486,0.000409066,0.001330202,0.003230036,0.006661645,0.013231,0.022001794,0.039895509,0.060417971,0.085179303,0.111394504,0.127836034,0.145681512,0.165963076,0.185813759,0.19916135,0.21141976,0.222769662,0.232097336,0.238502214,0.245014493,0.247894589,0.250000316,0.255220055,0.258238287,0.258366818,0.257739073,0.262528059,0.26370569,0.261549222,0.259827041,0.246685213,0.231794181,0.213250565,0.193947989,0.174745733,0.155988296,0.135268329,0.116681996,0.094700178,0.073724435,0.058108139,0.045146123,0.031162543,0.019451769,0.010039859,0.002888706,0.000873535,0.000100641,2.39E-05,7.78E-05,2.37E-07,0,0,0,1.12E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4081
GSW13,D_Tienge,BW_PHOTO,0.035714286,SOLAR,D_Tienge,BW,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11E-05,7.40E-05,9.29E-05,0.000196062,0.000307836,0.000452692,0.005600191,0.01726382,0.029951288,0.043697421,0.058306927,0.073998658,0.090196544,0.108026928,0.125978319,0.142796338,0.159581253,0.176441808,0.192894173,0.208115748,0.220612976,0.233005605,0.241682396,0.247148126,0.250460008,0.252628301,0.255761511,0.259687242,0.262872366,0.262750647,0.260160778,0.252977793,0.24548972,0.23535089,0.221424805,0.205919924,0.189909331,0.171909591,0.153482067,0.135510622,0.117048371,0.098949869,0.078694188,0.058836365,0.042296199,0.02834654,0.017941059,0.011187515,0.006192072,0.002502052,0.000311561,8.08E-06,2.60E-06,0,7.28E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4927
GSW14,D-1,SH_HH_PHOTO,0.090909091,SOLAR,D-1,SH_HH,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34E-05,0.000146931,0.000210197,0.000309259,0.002541742,0.008020749,0.016327845,0.026593371,0.044897992,0.065231316,0.08679364,0.108584227,0.127512545,0.146145813,0.164503958,0.182860699,0.199463472,0.213401111,0.227151282,0.241482547,0.2520301,0.26315755,0.272523106,0.280577233,0.284313593,0.28232496,0.277656268,0.272261941,0.26303824,0.252153369,0.240273813,0.228988811,0.216061019,0.199485579,0.182313584,0.165279331,0.148330152,0.133786546,0.118578651,0.103975071,0.091592295,0.076713603,0.060663083,0.044404569,0.031175412,0.019954269,0.011589502,0.004097317,0.000336969,0.000146032,0.000167837,4.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1422
