Lines,LineType,FromBus,ToBus,Reactance,FlowLimitForw,FlowLimitBack
D-160.To.D_185,AC,D-160,D_185,0.01103,601,601
D-231.To.D_233,AC,D-231,D_233,0.02237,501,501
D_Connef.To.D_Diele,AC,D_Connef,D_Diele,0.01313,2201,2201
D-192.To.D_Eichst,AC,D-192,D_Eichst,0.02273,2001,2001
D-212.To.D_Eichst,AC,D-212,D_Eichst,0.0257,501,501
D_Eichst.To.D_engstl,AC,D_Eichst,D_engstl,0.04123,501,501
E-217.To.D_engstl,AC,E-217,D_engstl,0.01288,1580,1580
D_Eichst.To.D_kuhmoo,AC,D_Eichst,D_kuhmoo,0.01009,1501,1501
D-210.To.D_leupol,AC,D-210,D_leupol,0.0166,501,501
D-213.To.D_leupol,AC,D-213,D_leupol,0.00897,1501,1501
D-219.To.D_leupol,AC,D-219,D_leupol,0.05398,1001,1001
D-214.To.D_oberbr,AC,D-214,D_oberbr,0.03698,9900,9900
D-137.To.D_Rommer.(2),AC,D-137,D_Rommer,0.00401,2601,2601
D-6.To.D-1,AC,D-6,D-1,0.03986,1001,1001
D-12.To.D-10,AC,D-12,D-10,0.01449,501,501
D-108.To.D-101,AC,D-108,D-101,0.00611,1201,1201
D-100.To.D-102,AC,D-100,D-102,0.0049,501,501
D-113.To.D-103,AC,D-113,D-103,0.01818,1001,1001
D-115.To.D-103,AC,D-115,D-103,0.03555,1001,1001
D-89.To.D-103,AC,D-89,D-103,0.01592,501,501
D-95.To.D-104,AC,D-95,D-104,0.00332,1501,1501
D-95.To.D-105,AC,D-95,D-105,0.00334,1001,1001
D-96.To.D-106,AC,D-96,D-106,0.01724,501,501
D-116.To.D-107,AC,D-116,D-107,0.01084,501,501
D-81.To.D-107,AC,D-81,D-107,0.00965,501,501
D-104.To.D-108,AC,D-104,D-108,0.01377,1001,1001
D-100.To.D-109,AC,D-100,D-109,0.01772,1001,1001
D-14.To.D-11,AC,D-14,D-11,0.02963,1001,1001
D-100.To.D-110,AC,D-100,D-110,0.06327,501,501
D-102.To.D-110,AC,D-102,D-110,0.00315,1601,1601
D-108.To.D-111,AC,D-108,D-111,0.01719,1001,1001
D-123.To.D-111,AC,D-123,D-111,0.04114,601,601
D-90.To.D-112,AC,D-90,D-112,0.00706,501,501
D-129.To.D-113,AC,D-129,D-113,0.02262,2001,2001
D-82.To.D-113,AC,D-82,D-113,0.01507,1501,1501
D-98.To.D-113,AC,D-98,D-113,0.01954,1001,1001
D-113.To.D-117,AC,D-113,D-117,0.0148,501,501
D-114.To.D-118,AC,D-114,D-118,0.02777,1301,1301
D-107.To.D-119,AC,D-107,D-119,0.00964,1001,1001
D-112.To.D-119,AC,D-112,D-119,0.00573,601,601
D-6.To.D-12,AC,D-6,D-12,0.01225,1201,1201
D-111.To.D-120,AC,D-111,D-120,0.02603,501,501
D-113.To.D-121,AC,D-113,D-121,0.01898,501,501
D-113.To.D-122,AC,D-113,D-122,0.00679,1001,1001
D_Rommer.To.D-123,AC,D_Rommer,D-123,0.00481,2001,2001
D_Rommer.To.D-123.(2),AC,D_Rommer,D-123,0.00577,1501,1501
D-108.To.D-123,AC,D-108,D-123,0.06543,501,501
D-110.To.D-123,AC,D-110,D-123,0.00893,1001,1001
D-126.To.D-123,AC,D-126,D-123,0.00661,501,501
D-118.To.D-124,AC,D-118,D-124,0.01437,1001,1001
D-119.To.D-124,AC,D-119,D-124,0.00782,701,701
D-115.To.D-125,AC,D-115,D-125,0.02222,501,501
D-100.To.D-126,AC,D-100,D-126,0.01247,1001,1001
D-123.To.D-127,AC,D-123,D-127,0.01103,2001,2001
D-114.To.D-129,AC,D-114,D-129,0.00734,1501,1501
D-135.To.D-129,AC,D-135,D-129,0.01091,501,501
D-3.To.D-13,AC,D-3,D-13,0.0606,501,501
D-41.To.D-13,AC,D-41,D-13,0.0658,1001,1001
D-120.To.D-131,AC,D-120,D-131,0.01866,501,501
D-127.To.D-131,AC,D-127,D-131,0.00695,701,701
D-137.To.D-131,AC,D-137,D-131,0.01862,1001,1001
D-137.To.D-131.(2),AC,D-137,D-131,0.0539,501,501
