Loads,BusLoad,DynamicProfile,ParticipationFactor
Load_D_185,D_185,DE_LOAD,0.004512362
Load_D_233,D_233,DE_LOAD,0.006361158
Load_D_Connef,D_Connef,DE_LOAD,0.005307891
Load_D_Diele,D_Diele,DE_LOAD,0.002632166
Load_D_Eichst,D_Eichst,DE_LOAD,0.010805912
Load_D_Gronau,D_Gronau,DE_LOAD,0.010582111
Load_D_leupol,D_leupol,DE_LOAD,0.006361158
Load_D_oberbr,D_oberbr,DE_LOAD,0.006361158
Load_D_Siersd,D_Siersd,DE_LOAD,0.00523761
Load_D_Tienge,D_Tienge,DE_LOAD,0.005435891
Load_D-10,D-10,DE_LOAD,0.011255518
Load_D-101,D-101,DE_LOAD,0.009250662
Load_D-103,D-103,DE_LOAD,0.00478119
Load_D-105,D-105,DE_LOAD,0.009250662
Load_D-106,D-106,DE_LOAD,0.004844255
Load_D-107,D-107,DE_LOAD,0.004844255
Load_D-109,D-109,DE_LOAD,0.009250662
Load_D-11,D-11,DE_LOAD,0.011255518
Load_D-110,D-110,DE_LOAD,0.009250662
Load_D-112,D-112,DE_LOAD,0.004844255
Load_D-113,D-113,DE_LOAD,0.00478119
Load_D-114,D-114,DE_LOAD,0.005768587
Load_D-115,D-115,DE_LOAD,0.005768186
Load_D-116,D-116,DE_LOAD,0.009250662
Load_D-117,D-117,DE_LOAD,0.00478119
Load_D-118,D-118,DE_LOAD,0.004685791
Load_D-120,D-120,DE_LOAD,0.009250662
Load_D-121,D-121,DE_LOAD,0.00478119
Load_D-123,D-123,DE_LOAD,0.009250662
Load_D-124,D-124,DE_LOAD,0.004844255
Load_D-125,D-125,DE_LOAD,0.00478119
Load_D-127,D-127,DE_LOAD,0.009250662
Load_D-13,D-13,DE_LOAD,0.004413489
Load_D-130,D-130,DE_LOAD,0.004844255
Load_D-131,D-131,DE_LOAD,0.009339515
Load_D-133,D-133,DE_LOAD,0.004844255
Load_D-134,D-134,DE_LOAD,0.005768587
Load_D-135,D-135,DE_LOAD,0.005768587
Load_D-137,D-137,DE_LOAD,0.009250662
Load_D-138,D-138,DE_LOAD,0.004844255
Load_D-139,D-139,DE_LOAD,0.004516103
Load_D-14,D-14,DE_LOAD,0.006788317
Load_D-140,D-140,DE_LOAD,0.006361158
Load_D-141,D-141,DE_LOAD,0.004414557
Load_D-142,D-142,DE_LOAD,0.006361158
Load_D-143,D-143,DE_LOAD,0.004844255
Load_D-144,D-144,DE_LOAD,0.004414557
Load_D-145,D-145,DE_LOAD,0.004414557
Load_D-146,D-146,DE_LOAD,0.004414557
Load_D-147,D-147,DE_LOAD,0.009250662
Load_D-15,D-15,DE_LOAD,0.002050685
Load_D-150,D-150,DE_LOAD,0.006361158
Load_D-151,D-151,DE_LOAD,0.006226343
Load_D-152,D-152,DE_LOAD,0.004844255
Load_D-153,D-153,DE_LOAD,0.004844255
Load_D-156,D-156,DE_LOAD,0.006361158
Load_D-157,D-157,DE_LOAD,0.004844255
Load_D-158,D-158,DE_LOAD,0.004844255
Load_D-160,D-160,DE_LOAD,0.004414557
Load_D-162,D-162,DE_LOAD,0.004414557
Load_D-163,D-163,DE_LOAD,0.005435891
