Forcast.sum,Production.sum
5638,4973.8
5638.2,4948.7
5637,5158.4
5669.1,5173.5
5661.9,5033
5713.3,4592.9
5773.5,4467.3
5873.2,4563.1
5893.2,4726.3
5925.5,4709
5986,4649.1
5995.5,4718.9
6022.2,4624.6
6054.4,4673.4
6093.9,4546.4
6137,4581.8
6179.9,4707.7
6216,4684.7
6245.1,4778.1
6277.6,5001.5
6311.1,5203.7
6323.9,5338.8
6339.9,5325.2
6355.6,5252.2
6409.9,5407.5
6492.9,5773.1
6616.9,6103.2
6879.7,6375.8
7235.7,6630.5
7636.4,7039
8094.7,7423.5
8659.3,7946.5
9274.3,8535.3
9944.5,9279.1
10623.3,9811.6
11320.3,10826
12042.1,11569.5
12863.9,12730.9
13693.5,13526.4
14525.4,14519.5
15315.7,15734.7
16152.1,16989.5
16948.7,18376.8
17705.3,19412.2
18417.9,19882.5
19105.1,20462.4
19715.3,21366.1
20196.9,21758.5
20603.9,21820.8
20912.8,22052.4
21139.8,22158.1
21154,21679.4
21117,20807.3
20913.7,20569.4
20643.9,20243
20289.6,19861.3
19893,19905.7
19388.9,19484.7
18788.1,19319
18099.7,18527.4
17376.1,17660.3
16497.6,16708
15602.4,16033.6
14660.9,15481.5
13734.7,14232.3
12752.5,13358.8
11790.8,12682.7
10868.3,11305.4
9989.1,10392.6
9211.8,9688.4
8538.2,8932
8097.4,8273.5
7750.8,8303.8
7503.8,8321.6
7257.8,8032.7
7102.8,7711.8
6972.6,7668.6
6981.4,7416.7
6998.8,7352.6
7024.4,7390.9
7067,7515.2
7155.6,7619
7265.8,7882.6
7356.3,8126.2
7448.5,8228.9
7530.8,7958.9
7629.9,7904.2
7727.3,8058.3
7819.3,7999.8
7874.8,7924.9
7932.2,8036
8000.4,8146.2
7590,8001.9
7595.9,7980
7601.9,7825.8
7618.6,7691.5
